100	4170
101	4329
102	4291
103	4450
104	4632
105	4837
106	4969
107	5339
108	5696
109	6134
110	6745
111	7162
112	7072
113	7199
114	7282
115	7765
116	7709
117	7861
118	8503
119	8982
120	9339
121	9428
122	9818
123	10212
124	10600
125	11370
126	12182
127	13372
128	14060
129	15278
130	16387
131	17714
132	18971
133	19624
134	19947
135	20416
136	21154
137	21264
138	21893
139	21772
140	22311
141	23506
142	23855
143	25797
144	27743
145	29991
146	32855
147	36207
148	39494
149	42307
150	45745
151	47606
152	49890
153	52251
154	53784
155	56149
156	58530
157	60251
158	61451
159	60845
160	60445
161	60677
162	60817
163	61437
164	62270
165	63145
166	64073
167	64378
168	64298
169	65064
170	64069
171	63205
172	63061
173	61459
174	60501
175	59415
176	58023
177	57095
178	55328
179	53408
180	52682
181	51139
182	49826
183	48281
184	46269
185	44042
186	42840
187	41117
188	39165
189	37414
190	36182
191	34680
192	33147
193	32125
194	30413
195	29250
196	27799
197	26345
198	24990
199	24254
200	23083
201	22156
202	21121
203	19995
204	19592
205	18310
206	17226
207	16431
208	15705
209	15153
210	14187
211	13433
212	12824
213	12347
214	11956
215	11302
216	10487
217	10172
218	9500
219	9213
220	8682
221	8176
222	7717
223	7558
224	7061
225	6816
226	6481
227	6156
228	6054
229	5771
230	5468
231	5127
232	4977
233	4886
234	4702
235	4683
236	4502
237	4366
238	4246
239	4121
240	4097
241	3909
242	3827
243	3835
244	3804
245	3694
246	3748
247	3671
248	3628
249	3687
250	3641
251	3592
252	3653
253	3628
254	3677
255	3550
256	3665
257	3558
258	3640
259	3624
260	3746
261	3602
262	3805
263	3798
264	3914
265	3904
266	4022
267	4070
268	4168
269	4142
270	4334
271	4453
272	4499
273	4669
274	4930
275	4987
276	5177
277	5478
278	5555
279	5744
280	5926
281	5764
282	6153
283	6184
284	6381
285	6424
286	6580
287	6770
288	6961
289	6902
290	6954
291	7098
292	7196
293	7079
294	7071
295	7494
296	7236
297	7424
298	7570
299	7662
300	7636
301	7622
302	7602
303	7683
304	7607
305	7618
306	7516
307	7472
308	7300
309	7273
310	7265
311	6926
312	6917
313	6947
314	6638
315	6576
316	6479
317	6390
318	6284
319	6127
320	5913
321	5779
322	5755
323	5525
324	5507
325	5405
326	5227
327	5018
328	5007
329	4952
330	4752
331	4500
332	4449
333	4306
334	4199
335	4197
336	4100
337	3979
338	3821
339	3692
340	3776
341	3479
342	3503
343	3304
344	3211
345	3149
346	3151
347	3090
348	3008
349	2852
350	2737
351	2619
352	2616
353	2578
354	2523
355	2372
356	2200
357	2189
358	2195
359	2021
360	2093
361	2004
362	1913
363	1837
364	1684
365	1769
366	1661
367	1667
368	1587
369	1541
370	1508
371	1398
372	1409
373	1320
374	1289
375	1272
376	1246
377	1182
378	1145
379	1096
380	1096
381	1118
382	1092
383	1098
384	1028
385	977
386	972
387	917
388	898
389	908
390	954
391	886
392	844
393	865
394	894
395	897
396	860
397	844
398	800
399	815
400	781
401	789
402	753
403	761
404	799
405	775
406	805
407	847
408	775
409	798
410	744
411	820
412	741
413	772
414	788
415	744
416	726
417	710
418	746
419	720
420	705
421	758
422	807
423	836
424	734
425	799
426	722
427	675
428	662
429	676
430	647
431	643
432	646
433	649
434	720
435	695
436	629
437	644
438	582
439	646
440	628
441	643
442	609
443	608
444	562
445	512
446	559
447	599
448	591
449	514
450	540
451	528
452	520
453	520
454	492
455	492
456	475
457	444
458	474
459	455
460	421
461	461
462	429
463	414
464	405
465	391
466	399
467	395
468	399
469	428
470	360
471	386
472	395
473	337
474	348
475	358
476	330
477	301
478	325
479	337
480	288
481	315
482	317
483	300
484	306
485	252
486	247
487	290
488	271
489	245
490	253
491	251
492	268
493	246
494	230
495	226
496	228
497	210
498	209
499	209
500	210
501	215
502	181
503	214
504	228
505	184
506	183
507	183
508	178
509	172
510	173
511	166
512	153
513	178
514	158
515	138
516	143
517	161
518	153
519	137
520	122
521	126
522	160
523	129
524	125
525	109
526	144
527	125
528	130
529	153
530	128
531	129
532	128
533	116
534	122
535	122
536	106
537	104
538	120
539	110
540	115
541	175
542	158
543	100
544	97
545	96
546	86
547	87
548	88
549	103
550	93
551	96
552	87
553	99
554	102
555	116
556	106
557	105
558	93
559	96
560	99
561	73
562	80
563	65
564	72
565	65
566	68
567	79
568	60
569	65
570	57
571	69
572	71
573	79
574	110
575	75
576	90
577	77
578	72
579	106
580	84
581	91
582	90
583	88
584	98
585	91
586	98
587	100
588	107
589	99
590	101
591	93
592	116
593	105
594	119
595	106
596	123
597	117
598	103
599	128
600	104
601	134
602	131
603	135
604	112
605	129
606	143
607	120
608	132
609	136
610	114
611	136
612	135
613	138
614	127
615	142
616	127
617	153
618	131
619	134
620	130
621	115
622	143
623	147
624	131
625	158
626	174
627	149
628	145
629	139
630	147
631	124
632	109
633	122
634	122
635	140
636	147
637	131
638	134
639	127
640	127
641	172
642	144
643	138
644	136
645	123
646	113
647	117
648	101
649	89
650	96
651	89
652	96
653	73
654	109
655	99
656	113
657	118
658	77
659	90
660	81
661	61
662	56
663	66
664	57
665	60
666	62
667	54
668	54
669	57
670	52
671	55
672	54
673	41
674	31
675	33
676	51
677	36
678	44
679	41
68	1
680	36
681	44
682	43
683	46
684	39
685	50
686	28
687	41
688	41
689	37
69	3
690	43
691	43
692	39
693	35
694	23
695	47
696	37
697	32
698	34
699	40
70	2
700	48
71	1
72	2
73	2
74	5
75	17
76	1330
77	1375
78	1562
79	1596
80	1534
81	1530
82	1593
83	1618
84	1693
85	1857
86	1896
87	2057
88	2408
89	2842
90	2943
91	3026
92	2861
93	3061
94	3257
95	3163
96	3211
97	3415
98	3558
99	3980
